Timestamp,Frequency_MHz,Power_dB
2025-04-27_02-49-36,913.800,25.33
2025-04-27_02-49-36,913.800,19.47
2025-04-27_02-49-39,913.800,28.02
2025-04-27_02-49-39,913.800,20.10
2025-04-27_02-49-40,913.800,26.38
2025-04-27_02-49-40,913.800,5.39
2025-04-27_02-49-40,913.800,23.03
2025-04-27_02-49-41,913.800,22.91
2025-04-27_02-49-41,913.800,27.26
2025-04-27_02-49-41,913.800,15.24
2025-04-27_02-49-42,913.800,17.62
2025-04-27_02-49-42,913.800,26.41
2025-04-27_02-49-42,913.800,24.98
2025-04-27_02-49-43,913.800,11.26
2025-04-27_02-49-43,913.800,22.14
2025-04-27_02-49-43,913.800,21.68
2025-04-27_02-49-44,913.800,21.07
2025-04-27_02-49-44,913.800,12.33
2025-04-27_02-49-44,913.800,12.49
2025-04-27_02-49-45,913.800,20.70
2025-04-27_02-49-45,913.800,22.31
2025-04-27_02-49-45,913.800,24.39
2025-04-27_02-49-46,913.800,27.48
2025-04-27_02-49-46,913.800,24.45
2025-04-27_02-49-46,913.800,21.78
2025-04-27_02-49-47,913.800,23.86
2025-04-27_02-49-47,913.800,18.11
2025-04-27_02-49-47,913.800,32.90
2025-04-27_02-49-48,913.800,17.64
2025-04-27_02-49-48,913.800,23.02
2025-04-27_02-49-48,913.800,19.39
2025-04-27_02-49-49,913.800,26.04
2025-04-27_02-49-49,913.800,15.10
2025-04-27_02-49-50,913.800,29.78
2025-04-27_02-49-50,913.800,21.83
2025-04-27_02-49-53,913.800,12.05
2025-04-27_02-49-53,913.800,17.55
2025-04-27_02-49-54,913.800,24.37
2025-04-27_02-49-54,913.800,23.17
2025-04-27_02-49-54,913.800,20.93
2025-04-27_02-49-55,913.800,23.58
2025-04-27_02-49-55,913.800,27.83
2025-04-27_02-49-55,913.800,24.54
2025-04-27_02-49-56,913.800,26.88
2025-04-27_02-49-56,913.800,18.08
2025-04-27_02-49-56,913.800,17.34
2025-04-27_02-49-57,913.800,8.79
2025-04-27_02-49-57,913.800,25.95
2025-04-27_02-49-57,913.800,14.64
2025-04-27_02-49-58,913.800,14.62
2025-04-27_02-49-58,913.800,18.82
2025-04-27_02-49-58,913.800,23.93
2025-04-27_02-49-59,913.800,0.56
2025-04-27_02-49-59,913.800,16.82
2025-04-27_02-49-59,913.800,17.63
2025-04-27_02-50-00,913.800,20.08
2025-04-27_02-50-00,913.800,25.77
2025-04-27_02-50-00,913.800,-1.26
2025-04-27_02-50-01,913.800,21.00
2025-04-27_02-50-01,913.800,22.47
